10.19.119.123 - - [18/Nov/2025:17:05:58 +0000] "GET /identity/v3/users/47e255e99fe74d4e8b78de71f26cf8df HTTP/1.1" 200 524 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:58 +0000] "GET /identity/v3/projects/2dd755a55d14483c81354194f9e70bb3 HTTP/1.1" 200 561 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:58 +0000] "PUT /identity/v3/projects/2dd755a55d14483c81354194f9e70bb3/users/47e255e99fe74d4e8b78de71f26cf8df/roles/30dd596831ad418b9f65edbe4962d819 HTTP/1.1" 204 201 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:58 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:58 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:58 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:59 +0000] "POST /identity/v3/users HTTP/1.1" 201 543 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:59 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:59 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:59 +0000] "GET /identity/v3/roles/member HTTP/1.1" 404 336 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:59 +0000] "GET /identity/v3/roles?name=member HTTP/1.1" 200 593 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:59 +0000] "GET /identity/v3/users/47e255e99fe74d4e8b78de71f26cf8df HTTP/1.1" 200 524 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:59 +0000] "GET /identity/v3/projects/15a5de55b2fd478b8297019f1a2c9add HTTP/1.1" 200 547 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:59 +0000] "GET /identity/v3/role_assignments?role.id=30dd596831ad418b9f65edbe4962d819&scope.project.id=15a5de55b2fd478b8297019f1a2c9add&user.id=47e255e99fe74d4e8b78de71f26cf8df HTTP/1.1" 200 860 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:59 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:05:59 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:06:00 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:06:00 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:06:00 +0000] "GET /identity/v3/users/bd9fc78a29854d84837aebd855ce6c4d HTTP/1.1" 200 496 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.123 - - [18/Nov/2025:17:06:00 +0000] "GET /identity/v3/projects/15a5de55b2fd478b8297019f1a2c9add HTTP/1.1" 200 547 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
